Nimi,Riiklikud Maksud,Tööjõumaksud ja maksed,Käive,Töötajaid
KARUSSAARE OÜ,714,465,2093,1
VENNAD PÄRNAD OÜ,713,531,1053,1
PAVLO DOHMAN,713,465,27620,1
FERRUM AGRO OÜ,712,374,4063,1
MAAMERIMETS OÜ,712,465,3293,1
ETNOKOM OÜ,712,531,3870,1
NEVADUS OÜ,712,531,4952,1
NOAROOTSI SAAREMÕISA OÜ,711,605,5574,1
VARLING OÜ,711,561,4234,1
ROSENROT OÜ,711,531,3885,2
DESIA INVEST OÜ,710,561,1905,1
TAAVI KOBIN,710,374,10880,1
CREATFUL OÜ,709,494,3317,1
OBERON OÜ,709,544,4938,1
VAARIKAELU OÜ,709,561,5415,1
PINBALL INVEST OÜ,708_87,561,,1
EMINESTGRUPP OÜ,709,561,5713,1
VASSANAT OÜ,709,531,4950,1
MÕLGIMURDJA OÜ,708,561,2793,1
REMRA OÜ,708,465,8329,2
ABR TRANSPORT OÜ,708,1038,26064,1
M&R GRUPP OÜ,707,531,2344,1
OÜ INGLILILL,707,465,8540,3
ELERGON OÜ,706,561,35777,1
RAUA ÄRI OÜ,706,494,66528,1
TERVISETREENINGUD OÜ,706,465,4793,1
OLEDS OÜ,705,525,6320,1
KERRA-TRADE OÜ,705,531,3569,1
SPUMANTE OÜ,704,465,8983,1
HIKKOR PUIT OÜ,703,551,2904,1
SAUNA TRANS OÜ,703,582,16726,1
TAMMEST OÜ,703,561,2143,1
ARHITEKTIBÜROO K. RAJUR OÜ,703,669,1900,2
OÜ SANTEHWORK,702,561,3980,1
V.L. MESINDUS OÜ,701,561,2643,1
HELMARE OÜ,701,561,7990,2
EKSPERA OÜ,700,536,1205,1
ALVET EHITUS OÜ,700,561,9193,1
ÞANNA TSVETKOVA BÜROO OÜ,700,562,3635,2
LENTSIUS OÜ,700,531,7216,1
DEPARTE OÜ,700,531,6723,1
TYYP OÜ,699,495,1794,1
SAILCLINIC OÜ,699,525,2149,1
ENRIMAR OÜ,699,536,2188,1
HOMENJA OÜ,699,646,3200,1
FINANTRA OÜ,699,187,3568,1
FERMEKON OÜ,699,494,4942,1
LILLES GRUPP OÜ,699,374,3736,1
TEIGAR HOLDINGS OÜ,698,179,3144,1
OÜ NAILEX,698,561,20398,1
KOLME T OÜ,698,531,0,1
SALESLEADER OÜ,697,720,76390,2
OÜ MARGUS MUTS FOTO,697,494,3125,1
MELLINGER OÜ,697,465,5320,1
ACB SERVICES OÜ,696,531,12975,1
SPAREXLINE SHIPPING CO OÜ,696,536,91752,1
TEEDE LABORATOORIUM OÜ,696,465,9100,1
AR PRO PARTNERS OÜ,696,187,10619,1
KALA SERVICE OÜ,695,561,3409,2
HAAPSALU LINN HAAVA TN 10 KORTERIÜHISTU,695_05,707,,1
P.A.M. PROJEKT OÜ,695,561,1000,1
KUUSK55 OÜ,694,531,7291,1
TIIA TERVISETUBA OÜ,694,465,2150,1
ENNU AUTOREMONT OÜ,694,531,7403,1
OSA ELEKTER OÜ,694,340,3030,1
DOMINOCARS UÜ,694,561,17031,1
WILDEST OÜ,693,582,29006,1
IR EESTI OÜ,693,495,325,1
REMAR OÜ,692,275,4669,1
KARU PUKSIIR OÜ,692,531,4012,1
SUMMERGOLD OÜ,692,540,2985,1
FILMARI OÜ,692,465,4512,1
NAAGEL EHITUS OÜ,692,561,3975,1
VG- CARGO OÜ,691,561,2943,1
LEVON OÜ,691,574,2266,1
PROKS OÜ,691,531,2125,1
EVALVERA GROUP OÜ,691,536,1633,1
COUNTRYHOUSE BUILDING OÜ,691,635,191122,1
BALTICA RHENUS TRAVEL SERVICES OÜ,691,531,33428,1
BALTIC TIMBER ENERGY OÜ,690,531,1617,1
PEETER LABO,690,561,5691,1
INITEC LATVIA OÜ,690,561,83320,1
S.O.G. OÜ,690,571,2277,1
ALLAS SOLUTIONS OÜ,687,536,6966,1
RETAILER GROUP OÜ,687,561,2094,2
MÄTLIKU OÜ,687,177,11058,1
SEVAND&IL OÜ,687,597,30853,1
VOO AGRO OÜ,687,561,0,1
DTD FISHING OÜ,687,561,6799,1
CORNFIELD OÜ,686,561,3411,1
ART GRUPP OÜ,686,561,1996,2
ROBERT UÜ,685_8,561,,1
WOODEN BOAT OÜ,686,507,3703,1
KSP PARTNER OÜ,685,465,1771,1
CHIKA OÜ,685,561,24558,1
PRIIBOL OÜ,685,531,1647,1
HYDROTECH ENERGY SCIENCE OÜ,685,531,950,2
MÕTE OÜ,685,561,1144,2
TEEVER OÜ,684,529,3650,1
NORDIC TRANSPORT GROUP OÜ,684,540,48486,1
ANDRUSE MAHE -JA TURISMITALU OÜ,684,499,24358,1
HIIEKOJA MT OÜ,684,621,3787,1
ALFA LIGHT OÜ,683,737,3047,2
RIOS ART OÜ,683,494,1788,1
ALLVEOD OÜ,683,525,10565,1
VASAREL SERVICE OÜ,682_5,525,,1
REFPLANT OÜ,682,690,1718,1
VIRTUAL OPTITEK TÜ,682,720,2100,1
MAÐUK TÜ,682,561,3091,1
LEESI PRUNSVELT DISAIN OÜ,681,582,2952,1
KEELTETEHNOLOOGIAD OÜ,681,495,2367,1
VALTAMM OÜ,681,700,3546,1
AMATÖÖR OÜ,681,850,1887,1
ESTWISSE OÜ,681,561,1377,1
ILUOSAKOND OÜ,680,374,9349,1
PRIMAGO CONSULT OÜ,680,737,15727,1
ARINNA-TR OÜ,679,561,3036,2
BEEBILE OÜ,679,374,23394,1
NU BEAT OÜ,679,582,2294,1
OÜ TALIS NURK EHITUS,678,681,5739,1
ABERTO CLEAN OÜ,678,582,3345,1
HEAD TEENUSED OÜ,677,561,2784,1
AU ONLINE MARKETING OÜ,677,720,25,3
SV REISID OÜ,676,597,6093,2
BILDEGREN OÜ,676,531,1635,1
RISKTRANS OÜ,676,465,8826,1
LOVISTEL OÜ,675,561,3841,1
DENTORES OÜ,674,495,4799,1
PROFI PERSONAL OÜ,674,361,6957,5
ESTCHEMIKA OÜ,673,700,7478,2
VIOLA KINNISVARABÜROO OÜ,672,465,1869,1
RANDMÄE OÜ,672,561,14538,1
SIRUS OÜ,671,529,2835,1
KATEN TRADING OÜ,671,531,11552,1
KAIRI VENDER OÜ,671,561,3936,1
BURGERI SILLA OÜ,671,561,316005,1
PILVEPALL OÜ,670_21,525,,1
INNOTEC OÜ,670,706,266,1
PUHKUS NUUSTAKUL OÜ,670,637,1680,2
NAELAPEA PIHTA OÜ,670,561,6150,1
ROCKAUTO OÜ,670,465,5470,1
TUULETALU OÜ,669,561,1550,1
Z2A OÜ,669,700,32862,1
PROMEX KV OÜ,669,495,305,1
JUHANI EHITUSTÖÖD OÜ,668,652,1897,2
VELVETON KAUBANDUSE OÜ,668,561,1260,1
CALANDRELLA OÜ,668,531,3628,1
ASHRYN GROUP OÜ,667,465,1905,1
TÜRI PUITMÖÖBEL OÜ,667,525,4171,1
ERKI-SPORT MITTETULUNDUSÜHING,667,531,3793,1
FALGRI OÜ,667,561,22353,4
TAKANNI OÜ,667,561,4476,1
TAGETAR OÜ,666,561,9513,1
WILDSCHAF OÜ,666,465,1755,1
GIFTSTUDIO OÜ,665,583,1293,4
SEVARTA OÜ,663,582,1617,1
AARE AUTOELEKTER OÜ,663,499,1221,1
SULVESTOR OÜ,663,531,838,1
GOLD GRUPP OÜ,662,582,5604,1
VÄLEK TRANS OÜ,662,540,5917,1
KPTRANS OÜ,662,561,6048,1
KIIGE DISAIN OÜ,662,531,1000,1
AHJUMEES OÜ,661_82,700,,1
AB INSENERID OÜ,662,582,2350,1
FLORX OÜ,661,720,3492,2
ENDLERON OÜ,660,738,,1
ARIOM PROJEKT OÜ,660,700,,2
MEHMETAL OÜ,660,700,0,3
MACHINE MAKER OÜ,660,582,0,1
AKVAMER OÜ,659,187,4000,1
HENRI'S GRUPP OÜ,659,499,1800,1
BALANSS PLUSS OÜ,659,619,6924,4
DALP OÜ,659,561,3265,1
KÄLLUSAARE OÜ,659,836,0,1
ADVOKAADIBÜROO LEONID OLOVJANIÐNIKOV OÜ,659,495,1417,1
GERALDER OÜ,659,106,3264,1
SEM SERVIS OÜ,659,531,4630,1
OPIUSTAO OÜ,658,582,3379,3
LANDHORD TRADING OÜ,658,561,2051,1
KRM AUDIT OÜ,658,494,2935,1
SILLUTAJA OÜ,658,465,7289,1
SILMVIBURLANE OÜ,658,374,2869,2
TRIIDUD OÜ,658,574,12523,1
TIGE NORDIC OÜ,658,187,24599,1
ZIRAFF OÜ,657,561,1671,1
HADSBORG CONSULTING OÜ,657,737,8643,1
MEELISE EHITUS OÜ,657,561,1058,1
HANSASPINE OÜ,656,561,675,1
RAIDMAA OÜ,656,525,838,1
DUBOX OÜ,656,491,3483,1
VALTO CAR OÜ,656,483,2600,1
BEAUTY PARLOUR OÜ,655,561,5542,1
TRADESTATE OÜ,654,388,1596,1
IJ SERVICE OÜ,654,582,26776,3
INTEROZEMARI OÜ,654,525,9008,1
LUXTOR OÜ,654,561,5629,1
SMART ASSIST OÜ,654,635,10577,1
CREDIT IN OÜ,654,522,1335,1
ECOQUEST EESTI OÜ,653,582,19359,2
REIN REITEL,653,561,6783,1
MOLY TEAM OÜ,653,465,1269,1
ASTACUS OÜ,652,499,4987,1
CONPLAN OÜ,652,652,56350,1
PRIVILEG DAY SPA OÜ,651,465,15196,1
DIADEEM TRADING OÜ,651_25,561,,1
BLES OÜ,650,707,906,3
OMEGA HOLDING OÜ,650,582,3782,1
SKIINA OÜ,650,398,6690,1
VIAMONTE OÜ,649,494,1851,1
NOSMOT OÜ,649,582,4316,1
MAASIKAMÄE LIHAKARI OÜ,649,582,0,1
ESKORIN OÜ,648_25,525,,1
CAPITAL ATLANTIC OÜ,648,720,3776,1
DK ENTERTAINMENT OÜ,648,374,28163,1
RR KOLDED OÜ,648,494,8053,1
ALAM-PEDJA ARENDUS OÜ,647,561,2267,2
PFORTUNA OÜ,647,690,9811,3
MARTINRENDERDAB OÜ,647,465,900,1
KVALITEETMÖÖBEL OÜ,646,531,6695,1
WAHHEMETSA UÜ,646_14,561,,1
VERGUTECH BALTIKUM OÜ,646,499,3051,1
OÜ KANGEKAEL,645,561,932,1
COMPETENCE OÜ,645,561,1388,1
HANDSCARWASH OÜ,645,681,844,4
JAROBET OÜ,645,495,3383,1
PANORAAM MEEDIA OÜ,645,561,,1
MAKAROV MUUSIK OÜ,645,529,4,1
LILLEPALLID OÜ,644,536,11157,1
ALU VARAHALDUS OÜ,644,525,4735,1
ARKON AKANTUS OÜ,644,374,5056,1
KUIVAINETEKESKUS OÜ,644,561,19353,1
KIRJASTUSSELTS ZEUS,643,465,4842,1
MGS KOOLITUS & KONSULTATSIOONID OÜ,643,495,3500,1
ERIKU ETTEVÕTMISED OÜ,643,582,647,1
NOR TRANSPORT OÜ,642,582,14286,1
ENAMELLER OÜ,642,495,7571,1
ADVISER EST OÜ,642,494,1055,1
PHARUS OÜ,642,561,1726,2
TURBO TEHING OÜ,642,681,36,2
DALLARA OÜ,642,561,734,1
BALTI METSAMAJAND OÜ,642,494,5351,1
TEST-REM DIISEL OÜ,642,720,24952,1
FINANTSNÕUNIK OÜ,642,540,12117,1
SINILEPA PÕLD OÜ,641,531,0,1
A.K AUTOPROFF OÜ,641,561,3738,1
FRA NORDIC OÜ,641,720,6849,1
FELDHAUS KLINKER OÜ,641,720,5643336,1
SÕBESSOO OÜ,641,720,0,1
RMPFINANCE OÜ,641,720,14834,2
ALFATEK OÜ,641,720,15600,1
SONNE REISID OÜ,641,720,3528,1
MBFA OÜ,641,720,7743,1
ORMVIK OÜ,641,720,19000,1
PANBALTICA OÜ,641,525,941,1
KAMMIPILL OÜ,640,531,9372,1
ARYAT OÜ,640,495,2525,1
ILUSALONG CHRISTINA OÜ,640,483,12170,1
HAIRCITY OÜ,639,561,2299,1
VEERIKU EHITUS OÜ,639,582,1350,1
TOFRE HALJASTUS OÜ,639,525,11667,2
AHJUMAAILM OÜ,638,582,11083,1
HONDAR TRADE OÜ,638,525,1117,1
ATIMMA OÜ,637,495,0,1
TUISK FILM PRODUCTION OÜ,637,561,750,1
KUMM OÜ,636,531,6269,1
GLAMARIUM OÜ,636,495,3283,1
ETG PLAAT JA DISAIN OÜ,636,465,1940,1
CENTRAL TRADE OÜ,635,561,73328,1
PAPA REISID OÜ,635,669,4577,1
SKELETOR OÜ,634,92,12940,2
LINARTEX OÜ,634,700,8182,1
TAUS TEHNIKA OÜ,634,700,2869,1
SP TRANSPORT OÜ,634,572,9920,1
HOLTERI TENNISEPOOD OÜ,633,531,9128,1
IZMIR OÜ,633,619,308,2
T22 OÜ,633,465,983,1
KEG OÜ,633,374,7217,1
SVSAUTO OÜ,633,561,4206,1
SNOWLINE OÜ,633,686,2910,1
MAGMAN OÜ,633,561,1702,1
MARGO MUST,633,580,12646,1
MEDIMAX OÜ,632,531,2151,1
RAKTARIS OÜ,632,483,1305,1
SILFA STUDIO OÜ,632,580,5591,1
TUUTS OÜ,632,465,2803,1
LEA AADUSSOO,632,561,3017,1
PÄRNU KESKLINNA TENNISEKLUBI,632_09,507,,1
VILLA JOHANNA OÜ,632,561,4345,1
ATBM OÜ,630,561,2314,1
J & I OSSIPOV GRUPP OÜ,630,525,9290,1
MS LOODUSSÕBER OÜ,630,388,3000,1
ECOPROFIT OÜ,630,495,0,1
VANAMAJASALONG OÜ,629,523,9300,1
PRISTEX OÜ,629,561,15989,1
KIVIAED OÜ,628,465,2371,1
BETOGARD OÜ,628,531,2299,1
ENDEL VARBLANE,628,531,2763,1
PRESSMIX OÜ,628,495,9786,1
KAISFOTO OÜ,628,531,1838,1
DEIVISEB PAIGALDUS OÜ,628,561,3705,1
MERCAN SERVICE OÜ,627,531,2768,1
KANGE OÜ,627,525,12126,1
KAREN RAY TECHNOLOGIES OÜ,627,705,1291,3
REHVIKODA OÜ,626,465,2183,1
HANSAX COMMUNICATIONS OÜ OÜ,626,465,2404,2
E.R.A.AUTOVARU OÜ,626,465,2687,1
EHITUSE ABI OÜ,624,525,3648,1
ASBEST PLUSS OÜ,624,522,1382,1
VMT PRINT OÜ,624,561,4111,1
LAOSE TRANSPORT OÜ,624,531,3000,1
SIRVIDAS OÜ,624,561,29757,1
VIKTOAUTO OÜ,624,561,12272,1
METRO-V OÜ,624,531,15120,1
HOMMIK TRANS OÜ,624,495,29449,1
CM MOTORS OÜ,623,220,2100,1
GENNERT AUTO OÜ,623,465,3728,1
ANDELEKT OÜ,623,561,9788,1
COMENIUS OÜ,623,652,0,1
BRONSETO OÜ,622,561,15321,1
MEES JA KASS OÜ,622_41,561,,1
SEAKÜLA STUUDIOD OÜ,622,531,6833,1
BTE BALTIC TECHNOLOGY ENGINEERING OÜ,621,582,60675,1
KUKK JA LEPVALTS OÜ,621_25,531,,1
ESC GRUPP OÜ,621,187,2417,1
SILBESTE OÜ,621,465,2881,1
TORNILLO EHITUS OÜ,620,635,595,1
JUMBO TRANSPORT OÜ,620,561,6072,1
ANY SOLUTION OÜ,620,465,6712,1
HENRY KAUBANDUSE OÜ,620,531,319,1
HANDWASH OÜ,620,561,4379,1
FP ARENDUS OÜ,620,561,11294,1
SAKALA HAUDEJAAM OÜ,620,635,1024,2
YOLK OÜ,619,561,1789,1
ASALIIN OÜ,619,574,19642,2
KOHVIKHERNE OÜ,619,561,6872,1
3X3 OÜ,618,499,3341,1
JAANIVALGUS MTÜ,617_52,681,,1
KODUTREPP OÜ,618,465,5743,1
MOBILFIX OÜ,617,495,2763,1
TIKASOO OÜ,617,465,0,1
KEEVITUS PLUS OÜ,617,465,1187,1
U.A.T. OÜ,617,499,3240,1
ALMA SOOÄÄR,617,531,14201,1
JOHANSON & PARTNER OÜ,616,465,2988,1
STYLEWOLF OÜ,616,483,3770,1
AUTOHOOLDUS KENTAURIS OÜ,616,465,2998,1
POP SALON OÜ,616,531,5252,1
OSAÜHING HI KALA CONSULT,616,561,5750,3
MARU FOOD OÜ,615,567,1794,3
ANDRES KALLASTE,615,561,9741,1
SHAMONIN GRUPP OÜ,615,561,9538,1
FOTOGRAAF OÜ,615,561,5440,1
TERVIKLAHENDUSED OÜ,614,465,17771,1
IGOR RYABKOV,614,652,4231,3
HALDEX OÜ,614,561,5534,1
SHLEKTOR OÜ,614,686,3654,1
TEGELMANN ENGINEERING OÜ,614,582,1602,1
ENERGY REMONT OÜ,613,561,,1
ANDRIMOR OÜ,613,582,5720,1
AUTO KAHRU OÜ,612,495,12613,1
MANDRA KAUBANDUS OÜ,612,582,39376,1
OSTROVA MARI OÜ,612,561,8327,1
MUUGA TEHNIK OÜ,611,483,75,1
KULDALA SOOJUS OÜ,611,635,51271,1
GO TRANS OÜ,611,543,9078,1
LUM PARTNER OÜ,611,495,559,1
OÜ CENTRAL SPORT,611,331,6356,2
COMMITTED OÜ,610,187,5724,3
BIOKSRA OÜ,610,561,330,1
DIIVANIABI OÜ,610,686,20942,1
ART VINYL OÜ,610,465,5830,1
PALKMÖÖBEL OÜ,609,531,608,1
GEKO EHITUS OÜ,609,536,2480,1
MINU MÄNGUTUBA OÜ,607,318,6983,1
RIKOLA OÜ,607,531,4289,1
E-TELLING OÜ,607,531,2307,1
STEKA TRANS OÜ,607,646,14463,2
ANKUR UKSED OÜ,607,507,6672,1
THE BLACK CUBE OF SATURN OÜ,607,582,14034,3
ULVI KÖÖK OÜ,606,531,0,1
REISTEN OÜ,606,561,553,1
EUGENIO OÜ,606,465,1630,3
KDT EUROLOGISTIK EESTI OÜ,605,531,168674,1
SKAALA NIHE OÜ,605,465,2943,2
EKO INVEST GROUP OÜ,605,277,16110,2
TEAMFUN OÜ,605,220,7442,1
BERT OÜ,605,582,28200,1
ROSTIKO OÜ,604,689,0,1
LEKKO OÜ,604,465,21828,1
GROWKA OÜ,603,531,1355,1
RANNATUUL OÜ,603,177,3618,1
MJ HAUSS OÜ,603,495,3288,1
RAIDUR OÜ,603,465,1040,1
BALTASAR AUTO OÜ,603,635,9152,1
IDATRADING OÜ,602,531,139219,1
SOLVER EHITUS OÜ,602,637,4668,1
KOLU-NÕMME OÜ,601_9,495,,1
OLLAR ALLIANCE OÜ,602,561,9690,2
SMARTEC OÜ,602,465,714,1
ITMARKETING OÜ,602,483,1488,1
SAKSTEM OÜ,601,561,8138,1
P.P.EHITUS OÜ,601,499,15613,2
DECADENCITY OÜ,600,465,2245,1
DREISOM OÜ,599,499,5305,1
NOTERA AUDIT OÜ,599,495,2313,1
ANIMA MEDIA OÜ,599,473,668,3
2CONSULT OÜ,599,582,4348,1
PLINKER OÜ,598,465,4016,2
KULLFILM OÜ,598,374,1476,1
FUNNY BUSINESS OÜ,598,495,1210,1
FERRUM CAR OÜ,598,561,2147,1
SOULSTREAM OÜ,598,187,3820,1
EVERYDAY OÜ,597,582,420,1
OÜ SIMUNA VÄRKSTUBA,597,561,11852,1
KUDUMISETTEVÕTE ELEGIA OÜ,597,561,3152,1
RHM MANAGEMENT OÜ,597,531,1341,1
RYTOL OÜ,597,635,11238,2
ARU TOOTMINE OÜ,596,561,0,1
VIIRESTE OÜ,596,561,600,1
DANMAX VT OÜ,595,637,24826,2
TUHKANA OÜ,595,635,39660,1
OÜ TAREVANA,595,561,563,1
VISUAL IMPRESSION OÜ,595,531,15471,1
ALTECTAXI OÜ,595,561,4840,1
CARSTYLE AUTOPESULA OÜ,594,374,5173,3
REMPO OÜ,594,220,3879,1
PHOTO PASSION OÜ,594,561,6421,1
ALHEL CREDIT OÜ,594,582,1825,1
ÜLASE AUTO OÜ,594,525,6390,1
QSL SOFTWARE PARTNERS OÜ,593,561,6492,1
ERIFOON OÜ,593,561,416,1
ZACEKFOTO OÜ,593,494,10497,1
ELAMUS INVEST OÜ,593,6608,104593,15
NAMBAWAN OÜ,593,561,1014,1
OLLIMAA OÜ,592,465,0,1
VST TRANSPORT OÜ,592,561,5172,1
LEMZ OÜ,591,561,3739,1
MALACHITEDEN OÜ,591,621,,1
HERKAM SERVICES OÜ,591,561,3434,1
POPOPTIKA OÜ,591,561,14735,2
KADRI VILJANDI OÜ,590,561,5727,1
ALEXDA SERVICE OÜ,590,582,0,1
SAY ORGANIZATION OÜ,590,540,0,1
R.L.DENTUS OÜ,590,465,2366,1
ROBOTEK OÜ,590,531,4326,1
STF GRUNT OÜ,590,561,2130,2
SPRS OÜ,589,562,8014,2
OÜ TAMME-NIGULA METS,589,494,1300,2
MADERSON OÜ,589,465,4005,1
TRANSPLANET OÜ,588,637,15266,2
BEIDEWIND OÜ,588,499,17728,1
VMC INVEST OÜ,588,567,1064,1
HERBERT & SON OÜ,587,561,460,1
TALLINN PINS OÜ,586,495,2789,1
1TAKS OÜ,586,561,2684,1
OÜ VÄHID,586,525,1545,1
LAVAINIMESED OÜ,586,499,1404,1
PRO MEIK OÜ,585,531,889,1
PEIPSI ÜHENDUS,584,1470,49792,2
TORUAVARIIABI OÜ,584,465,5890,2
AHIKAMIN OÜ,583,543,9320,1
THOR GRUPP OÜ,583,561,10453,1
VILELEKT OÜ,583,635,3517,1
POLE PAHA OÜ,583,388,4128,1
BIUS INVEST OÜ,583,531,,1
GEOSNAP OÜ,583,529,892,2
ESTNATURE OÜ,582,561,7001,1
ENERGY EXPERT OÜ,582,465,1000,1
SUN TRADE OÜ,582,483,6803,2
WILD RIDE OÜ,581,561,20979,1
ESTREV EHITUS OÜ,581_3,561,,1
EELK VORMSI PÜHA OLAVI KOGUDUS,580_23,531,,1
ARENGU KIRJASTUS OÜ,580,580,,1
NATUR INVEST OÜ,580,582,7673,1
NATALJA BOBROVSKAJA OÜ,579,525,2939,1
DREAM YACHTS OÜ,578,582,184850,1
BLOCKCHAIN NATIVES OÜ,578,572,31250,1
MATIKO PUIT OÜ,578,525,6735,1
EUROFOREST OÜ,577,465,5940,1
RAMISE OÜ,577,427,9,1
VMV LINES OÜ,577,635,7500,3
TRIANGULAR OÜ,576,589,5025,3
PK-MEEDIA OÜ,576,499,7180,2
FYNTIK OÜ,575,582,309,1
ALEXANDRA LRV OÜ,575,561,0,2
AUTOKOOL HARJU AUTOM OÜ,575,531,1347,1
AAC FERDINAND OÜ,574,582,18847,1
TARCAR OÜ,574,495,3450,1
STUUDIO CSI OÜ,574,374,2661,1
BESTCAR OÜ,574,561,24358,1
AMBRELLE COMP OÜ,573,374,8205,1
RÕNGU TRAHTER OÜ,573,531,2047,1
PASKI VARAD OÜ,572_7,495,,1
KUNINGA KESKUS OÜ,572,275,2327,1
MILLHOUSE INTERNATIONAL OÜ,572,582,1957890,1
ESTIT CONSULTING OÜ,572,561,39253,1
ALEXI TRANSPORT OÜ,571,468,6102,1
SOULSHINE OÜ,571,465,1629,1
D.V.L. BALTI GRUPP OÜ,571,465,2238,1
PUHAS KVINT OÜ,570,531,,1
PILLADO OÜ,570,580,760,2
HAAVIS OÜ,569,617,204322,4
AUR STUDIO OÜ,569,561,2476,1
FEST BALTIC OÜ,569,1821,36581,2
KUUSEKÄNNU RATSAKESKUS OÜ,569,531,950,1
22 HAIR STUDIO OÜ,569,571,9457,1
VILLA HORTENSIA OÜ,568,499,4818,1
CLEANLUX OÜ,568,531,2899,1
ALLIKA MAJA OÜ,568,561,9377,1
HIPPOKRATES OÜ,568,536,3422,1
BALTIC TCM OÜ,568,531,2600,1
EXTREME MOVEMENT OÜ,567,561,0,1
FIIRELS OÜ,567,561,0,2
MARKMAR GRUPP OÜ,567,525,4470,1
VIP MARKETING OÜ,567_07,525,,1
BE ACTIVE OÜ,567,561,360,1
BREADMILL OÜ,567,531,360,2
ALL-RANN OÜ,567,465,508,3
MAISTRELL OÜ,567,561,2483,4
KURSI JAHILOSS OÜ,567,494,3790,2
CAVATRON PRO OÜ,567,572,13023,1
KATCOM GRUPP OÜ,566,398,11372,1
SUITSUTORU OÜ,566,187,12775,1
PILDILOOMAAED OÜ,566,465,2246,1
SHEVCHENKO OÜ,565,561,1257,1
TALUVEIS OÜ,565,561,1614,1
TPLM ARHITEKTUUR OÜ,565,561,550,1
EZZ TRANS OÜ,564,495,2452,1
ESTILO OÜ,564,637,36109,1
MVP TRADING OÜ,563,582,0,1
HELCON OÜ,563,635,2224,1
MALIX AUTOHOOLDUS OÜ,563,544,4832,1
MOTOCAR OÜ,563,465,4198,1
SOFOS OÜ,563,635,400,2
ARGESTO OÜ,563,495,2820,1
UNIBUILD OÜ,563,635,7121,1
USTEL TRANS OÜ,563,635,7753,1
ANTS-HEINO PORGAND,563,635,0,1
FORTANA OÜ,563,635,24070,1
CONTLINK OÜ,562,561,11350,1
EMALENDUR OÜ,562,561,1933,1
KINGCAR OÜ,561_99,525,,1
VEOSPRINTER OÜ,562,543,233,1
DANIGER OÜ,562,531,1539,1
KLUMP OÜ,561,561,8535,1
STEEL MASTERS OÜ,561,495,0,1
TECCEN OÜ,560,257,11655,3
TIRI TALU OÜ,560,531,312,1
KALARETK OSAÜHING,559,561,16265,1
AKDAR OÜ,559,561,10687,1
WALDEES OÜ,559,582,6406,1
ARI ILMAKUNNAS OÜ,559,572,16580,1
R.C. MANAGEMENT OÜ,558,465,4548,1
UNIQ U OÜ,557,468,14691,2
VIIDEKS OÜ,557,187,2880,2
SAMBULABS OÜ,556,531,2446,1
DORIVAL GROUP OÜ,556,465,1,1
BÜROO REITSAKAS OÜ,556,200,1505,3
VÕLLEMA PM OÜ,556,495,83,1
KUUES ELEMENT OÜ,555,465,737,1
FLEMENTRO OÜ,555,531,4518,1
KOTHOI OÜ,555,561,11914,1
RIHO NARUSKI,555,177,11193,1
SAVIAUGU PUIT OÜ,555,561,952,1
OÜ SPONTANI,555,465,2799,1
LEHTLA LUKUD OÜ,555,318,1310,1
HANSAMERK GRUPP OÜ,554,531,10155,1
MELDO EHITUS OÜ,554,374,2178,1
PUNSU METS OÜ,554,388,8084,1
ZIMMERHAUS OÜ,554,561,4073,1
PESULAINE OÜ,554,531,9549,1
OKKATEE OÜ,553,582,8713,2
CASPER OÜ,553,561,3058,1
OÜ ALIK VEOD,551,531,23759,1
OÜ LUUNJA MAASIKAS,551,525,0,1
PAALA AIAND OÜ,551,561,349,2
KERMO INVERTIR OÜ,551,551,0,1
UBUNOIR OÜ,551,582,4026,1
ELEKTER AB OÜ,550,531,3919,1
BALTIC COMMERCE OÜ,550,561,22899,1
TARTU EPT OÜ,550,561,0,1
PORESTERN OÜ,549,580,0,1
KENTMANNI ADVOKAADIBÜROO OÜ,548,543,399,2
OÜ RAIENDIK,548,465,4462,1
VEOLA GRUPP OÜ,548,531,417,1
MINNA LILLED OÜ,548,561,4000,1
TRIOTEX OÜ,548,561,6136,1
EASYSHOP GROUP OÜ,547,619,0,1
TORUTEC OÜ,547,561,12152,2
CULFLEX PRODUCTION OÜ,547,529,8014,1
PUPART OÜ,547,561,3450,1
FIRSLAND OÜ,546,561,24490,1
OÜ JP FUNCTIONS,546,562,1875,1
ASUURKERAAMIKA OÜ,546,361,3315,1
STARHITT OÜ,544,562,16645,1
INGREE EHITUS OÜ,544,561,2540,1
TRIGON DAIRY FARMING AS,544,589,0,1
MANFRED TURUL OÜ,543,574,8989,3
AAVIKU KOERTEKESKUS OÜ,541,465,4313,1
OÜ OLEG AUTO,541,561,1303,1
BEAUTY ALLIANCE OÜ,541,465,1911,2
PIGILIND OÜ,541,571,0,1
KUDUMISE SALONG OÜ,540,561,865,1
IMPRESIO OÜ,540,536,4267,1
KP TRADE OÜ,539,561,6512,1
MAIROM EST OÜ,539,465,500,1
PUUVEST TRANS OÜ,539,531,2044,1
UMAX OÜ,539,582,2189,1
SALIX GRUPP OÜ,539,374,53807,1
SOLID SOLUTIONS OÜ,538,525,3363,1
MOSKVA PATRIARHAADI EESTI ÕIGEUSU KIRIKU HAAPSALU MAARJA MAGDALEENA (,537_75,495,,1
FINCCA OÜ,538,561,1606,1
E.VAADER KUJUNDUS OÜ,537,561,3865,1
