Nimi,Riiklikud Maksud,Tööjõumaksud ja maksed,Käive,Töötajaid
STORA ENSO PACKAGING AS,751192,130864,6263041,33
PERNOD RICARD ESTONIA OÜ,750887,126205,6113961,24
GRAND PRIX CASINO OÜ,750459,220994,3592,117
VERSTON EHITUS OÜ,750409,307998,7011902,76
ESTONIA OÜ,749470,303816,4239937,122
BSH HOME APPLIANCES AB EESTI FILIAAL,740717,102973,5970374,35
PHARMA GROUP OÜ,740643,640585,16358507,328
PRINTALL AS,739747,522526,10048694,223
TAMREX OHUTUSE OÜ,739640,208454,6887406,96
VILJANDI NAFTABAAS OÜ,738458,3254,984894,1
SWEDBANK AB EESTI FILIAAL,735025,768927,2257849,139
ESSITY ESTONIA OÜ,733667,25221,7348591,6
OÜ TEKNOS,732457,113229,5983677,31
RAKVERE HAIGLA AS,730197,768849,100330,447
KOHIMO AS,729606,320945,5770945,134
AKTSIASELTS FARMI PIIMATÖÖSTUS,728540,430390,19046807,237
ESSVE ESTONIA AS,727286,198864,5742614,23
KÜHNE + NAGEL AS,725441,100544,5802801,30
OSAÜHING ALDAR EESTI,724859,373854,15923806,380
INFOTARK AS,723763,261425,5783835,120
1A.EE OÜ,721809,24944,7117362,12
ICEFIRE OÜ,721641,497373,2100834,106
SALOME AUTO AS,719541,193277,5918977,60
EOLANE TALLINN AS,717112,702880,24143071,356
VIPODEKLARANT OÜ,717050,3346,30416,4
NEW YORKER ESTONIA OÜ,715648,115186,6336561,118
MEDIATO AS,714189,55064,3726407,14
KOTRYNA OÜ,712274,183904,6644129,151
FRESELLE CUSTOMS & LOGISTICS OÜ,709782,10390,93290,9
AS EESTI LIINIRONGID,702785,752212,4385260,333
HANZA MECHANICS TARTU AS,702767,729400,19306745,406
VIRU ÕLU AS,698138,134479,2585382,71
AS EHITUSTRUST,697775,145721,12361563,37
FERANT OÜ,697432,3962,21623,2
HARMET OÜ,697263,1248017,16671086,519
OSAÜHING N&V,695120,383156,2917180,233
ADVOKAADIBÜROO COBALT OÜ,694698,469893,3326047,75
PIPELIFE EESTI AS,694142,292759,12020272,87
AMBER DISTRIBUTION ESTONIA OÜ,691642,90897,6091311,23
REIDENI PLAAT AS,689693,114033,5440171,48
SVENSKY KAUBANDUSE AS,689432,130253,7889851,46
MALEKO AS,687803,145784,4409042,67
BVT PARTNERS OÜ,687408,99403,5642926,12
OSAÜHING UTILITAS,686516,75445,39120891,9
EESTI VEDELKÜTUSEVARU AGENTUUR AS,684013,17829,4615573,9
TRUCK TRADING ESTONIA OÜ,682759,134538,7914916,56
LÕUNA-EESTI HAIGLA AS,681993,730615,23881,448
VALGA PUU OÜ,681700,231854,9961433,70
ROCCA AL MARE KAUBANDUSKESKUSE AS,681490,36481,4354400,7
SWEDBANK LIISING AS,678782,160031,98518386,65
A.K.K. AS,675889,35993,2583720,19
COOP PANK AKTSIASELTS,675532,702046,109695,199
NORDIC DIGITAL AS,675251,168264,6712642,105
KINNISVARATEENINDUS OÜ,674188,412821,2064116,600
M.V.WOOL AS,673373,172761,9180598,143
TOODE AS,672665,225712,7041726,88
PERSONAAL OÜ,672411,431573,1366791,401
PALJASSAARE KALATÖÖSTUS AS,667551,306448,6986670,160
ELEVÄLI AS,667382,75200,6789432,37
KAARLI HAMBAPOLIKLIINIK OÜ,667345,714330,26432,168
CRONIMET NORDIC OÜ,663860,26227,36197557,7
SAAREMAA TARBIJATE ÜHISTU,662943,414070,10509445,382
STUDIO MODERNA OÜ,662863,242457,4246244,162
REPLACE OÜ,662576,337896,19358271,177
KPMG BALTICS OÜ,661981,453829,1912169,141
PUUKESKUS AS,661671,109165,9433086,24
MCKENZIE INVEST OÜ,660402,404217,2898747,329
TWILIO ESTONIA OÜ,660032,699079,1531791,95
MERKO INFRA AS,656653,257403,11032185,64
SUNOREK AS,653451,393717,3133208,170
ETS NORD AS,652014,490469,10315462,216
HUMANA SORTEERIMISKESKUS OÜ,651303,432362,5356385,297
A&P METS AS,649353,175961,8136963,51
SYNLAB EESTI OÜ,647885,563647,632511,306
LUX EXPRESS ESTONIA AS,647807,462618,8470343,211
ROGER PUIT AS,647039,83357,3947076,22
EST-TRANS KAUBAVEOD AS,645579,391375,2551430,126
EESTI KESKKONNAUURINGUTE KESKUS OÜ,643015,409962,2177121,199
VALLIKRAAVI KINNISVARA AS,642396,31907,3302690,9
KODUPABER AS,640524,158366,7794555,57
MORBELA OÜ,639347,98077,4037586,22
FRUIT XPRESS OÜ,638200,204932,7497724,111
AGRILAND OÜ,637090,102317,11321493,30
AKTSIASELTS KE INFRA,635584,221217,4109850,67
MONEKLAR OÜ,634697,37216,7671423,20
TALLINN AIRPORT GH AS,633529,681517,3806870,293
ARVATO SERVICES ESTONIA OÜ,632045,673613,2315137,248
NPM SILMET OÜ,628698,658312,19202355,433
MARKIT EESTI AS,627690,29886,9813973,8
LAADUR OÜ,627353,171676,3790545,66
KONE AS,626518,211108,3383949,63
GENIUS SPORTS SERVICES EESTI OÜ,624544,673067,11845,317
UWEKO AS,622127,55915,1925184,26
PAKENDIKESKUS AS,620172,119492,5776004,39
ADVEN EESTI AS,619022,306838,6620957,87
O-I ESTONIA AS,617395,439654,5285162,159
IM ARVUTID AS,616518,79982,5822628,34
EESTI ENERGOMONTAAÞ AS,614583,305174,3394242,180
UNITED MOTORS AS,614540,160143,4954029,49
AVALLONE AS,614334,77186,3866987,41
ANTISTA AS,614004,555113,20951658,229
ADVOKAADIBÜROO SORAINEN AS,612797,344601,2462754,91
HANSA MEDICAL OÜ,612499,83572,3459308,16
MY FITNESS AS,612336,339468,4511001,325
L' OREAL BALTIC SIA EESTI FILIAAL,610685,58066,4628597,16
FAVOR AS,608682,461841,9833703,174
KIKA EE OÜ,607563,180367,4177507,155
HELME GRAANUL OÜ,607430,119360,10039943,44
VIRU ELEKTRIKAUBANDUS AS,605826,146015,5013153,45
OMA EHITAJA AS,604067,239582,8940564,52
OSAÜHING MAPRI EHITUS,603171,354088,16591707,92
EKLT OÜ,598200,232240,2615375,85
BALTEM AS,596992,173915,6229717,47
AS TARISTON,594435,378482,6333913,171
NET GROUP OÜ,594284,362203,1651037,75
ERNST & YOUNG BALTIC AS,593795,433377,2068297,107
3M EESTI OÜ,591870,98710,5561488,19
TALLINNA KAUBAMAJA KINNISVARA AS,590381,55472,3799694,15
HEKAMERK OÜ,589100,96287,7333831,29
AB “LIETUVOS DRAUDIMAS“ EESTI FILIAAL,588259,567866,270463,150
MERCANTILE AS,587816,176634,5001146,70
UNIMED KLIINIKUD OÜ,585499,616413,70903,191
KOHILA VINEER OÜ,581539,621499,8877583,260
NEFAB PACKAGING OÜ,580331,607027,6737194,235
HARJU ELEKTER ELEKTROTEHNIKA AS,580068,622529,11006656,242
METAPRINT AS,579948,523634,23852683,223
OÜ TMB ELEMENT,579941,471976,6470299,176
AS ÕHTULEHT KIRJASTUS,578498,540416,3611574,212
AMPHENOL CONNEXUS OÜ,578429,545770,2355572,581
HOTELL OLÜMPIA AS,577006,323118,3802963,238
KARIA OÜ,575391,120353,18818627,71
DERIVCO ESTONIA OÜ,574819,609387,2192439,131
LEAB EESTI OÜ,573778,198697,4856975,91
RECRUITMENT ESTONIA OÜ,573445,394629,1475801,96
STARSHIP TECHNOLOGIES OÜ,569480,602373,3400698,120
HANSAVEST RENTAL OÜ,568434,86481,3986632,13
AS INBANK,567499,317822,273325,62
ARENS AS,566992,324861,4566007,103
KEILA TARBIJATE ÜHISTU,565781,337473,7819411,292
ANVOL OÜ,564735,208878,13517611,147
HOBBY HALL OY EESTI FILIAAL,563075,263699,11354368,120
BALTIC LOGISTIC SOLUTIONS OÜ,560818,207344,2753700,127
SKUBA EESTI OÜ,560753,195234,3775009,52
VENNAD-DAHL AS,559745,132981,6132215,48
HANSAVEST TÖÖJÕUD OÜ,559492,46144,4220208,9
PUUMARKET AS,559343,259712,8289632,89
COLUMBUS EESTI AS,557683,331812,1592232,75
RICKMAN TRADE OÜ,557389,67477,3104096,18
BALT-HELLIN AS,557234,80252,6541634,35
ICP SOLUTIONS OÜ,552582,40381,5918517,15
SPA TOURS OÜ,551319,447024,3820214,492
METSAGRUPP OÜ,548718,62272,3141757,16
BALTI SPOON OÜ,547576,569671,8500859,268
SYMANTEC ESTONIA OÜ,546471,585949,1904138,95
HANZA MECHANICS NARVA AS,545606,588110,6434786,274
MISTRA-AUTEX AS,544761,506895,9554345,286
HOLSHIP ESTONIA AS,543335,9886,140970,3
ROBERT BOSCH OÜ,542725,47149,4503032,12
ADMIRAL MARKETS AS,542487,576231,1551782,125
WILLENBROCK BALTIC OÜ,539742,111430,4805899,32
KLAAR OÜ,539525,68039,4864241,32
SEESAM INSURANCE AS,538943,552438,65361,159
LEONHARD WEISS RTE AS,537659,419404,4322112,156
PAEKIVITOODETE TEHASE OÜ,536589,245946,2697271,84
SIEMENS OSAKEYHTIÖ EESTI FILIAAL,536287,249168,3494513,35
AS TV PLAY BALTICS,535671,205046,10164223,149
EESTI LOOTS AS,533180,561447,2284367,124
AS SIGNAAL TM,533083,213468,2705703,73
HURTIGRUTEN ESTONIA OÜ,532535,569170,2102891,206
HEATHMONT OÜ,531937,562792,2291839,130
